"MKI67","PMEPA1","SOX9","BGN","IFI6","GPRC5A","SOX4","TIMP1","FKBP10","CDC25B","ARFGEF3","PLOD3","MET","SLC12A7","TYMP","BOP1","KPNA2","VAV2","HELZ2","RUNX1","LMNB2","LPCAT1","SH3KBP1","THEM6","RCC2","CAD","DNMT1","SLC1A5","TMEM63A","CHD7","ENTPD6","IRAK1","DKC1","PLXNA3","GTPBP4","NCAPD2","MFHAS1","PARP14","PDCD11","MTHFD2","MFSD12","ATP5PF","RAP1A","UBL3","PINK1","MXI1","GSN","CITED2","METTL7A","KAT2B","PER1","KLF4","SLC25A4","GPX3","FHL1","class"
4.46790276714491,4.80889862233365,4.42768580616071,4.77897954102292,4.38921249807048,5.23244647785029,4.57576073038487,5.14982723534478,3.79051512963043,3.57688251269851,4.13012629789471,4.22910536904164,4.11003482725573,4.46603537863274,4.02015143723787,4.02885054839694,4.1197249341221,3.94748741180387,4.512975773596,4.09824285967243,4.44005187517831,4.30308763198661,4.22608584292885,3.98914798705915,4.18754752150002,3.95788934163082,4.06097703485275,4.20824620642387,3.93632643524749,3.67405605391969,3.8565543024586,4.44203413559102,3.82803496471226,3.96858312300966,3.78595795788995,4.02316882129544,3.87177338194153,3.90397000090668,3.8811951731365,3.73765926672564,4.2681062547782,3.86418799536792,3.58277356058005,3.75788851091006,3.44081882143199,3.48978725187909,4.93721844701931,3.83226484065786,2.95389675051374,3.29518632434815,3.14893220520788,3.81670775030424,3.90451272370753,3.73365863128556,3.03959854193016,"yes"
4.73491225706799,4.02329320687395,4.416129242693,4.12052204614023,4.30568639121543,5.25978315014153,4.05770202711197,4.35295707379352,4.03086217499574,3.89827392155501,4.22978668559426,4.0962117297066,4.17310586256607,4.5322112232184,3.52710615812979,4.06671517606584,4.22153842069582,3.93389279564464,4.13462289122193,4.00528648370118,4.02594296788158,4.13641426053424,4.09202434145319,4.08120661904085,4.30515640979626,4.12863564396062,4.13771582479709,4.15589588087665,4.16456866218996,3.82722631865255,4.10136963380845,4.38329262476144,4.10897358326762,4.00281128891004,3.50007605657027,4.23817594870634,3.77485771005698,4.20519274618209,3.96188441115908,4.05072652409648,4.01435849906462,3.72673431804041,3.89898223801433,4.06854782906565,3.6508313571496,3.48913853796938,4.51253435535836,3.53207646308226,4.07374176558097,3.40332722169801,3.77262571136486,4.27271135219802,3.25776283889824,3.64150371422414,3.77716347715078,"yes"
4.56931009434151,4.12086938326024,4.23596754336422,4.69046211332036,4.84593326667972,4.85956275333588,3.60612801854807,4.78555979142763,4.39587492988986,4.26281967815965,3.90377651920054,4.05630704648792,4.00460663144198,4.61301200144979,4.090081680315,3.52649742483294,4.5418936311618,3.88845976111644,4.16557538769988,4.18808085211605,3.94601191617613,3.95152101096091,4.22036632325349,3.88658020402789,4.39269300316083,3.83302234760705,4.10861727582484,3.95141962319766,4.60315369585006,3.83355473441218,4.09411551772606,3.98945316400963,3.94385047454911,3.96104649399322,4.03105692789954,4.41651206913248,3.83342169888292,4.30067423874249,3.74569456449097,4.07630765704694,3.82873959381825,3.82752742049692,3.99718725359985,3.7120167041623,3.635222083223,3.66602452325173,4.33031066553772,3.57686997494044,3.36460309495025,3.43328069987412,3.54290782190409,3.49460314232953,3.55821943648242,3.93980760377485,3.3826293828856,"yes"
4.20582425166334,4.07800671778015,4.636016151384,4.56191581611535,5.07695774884565,4.40206056766598,3.84314369816901,4.60902527954537,4.23841355132489,4.08158000173539,4.19014679923361,4.43447366210799,3.84289715006026,3.94280552972833,4.17244112751538,3.87013906615672,4.24471634830543,3.82784210770555,4.09268213163943,4.17000939629346,4.19565472951986,4.1909221275123,3.71705320435097,4.0460758819384,4.34127424649423,3.83693761254008,3.89105253512408,4.90538197083359,4.60334703463064,3.37238405383321,4.14108173657589,4.49632882462087,3.91634798827483,3.68615929488798,3.68135648083222,4.27305354898824,3.91718016957262,3.62387528833173,3.7894264066611,4.08611131881949,3.88269510310075,4.11048859289894,3.7600007874149,3.78352900978847,3.72472847110094,3.5048178183354,4.50656009139102,3.66309077440685,3.69974298821955,3.86325184362465,3.46841876695095,4.01535619687694,3.3526315225081,4.02874276596819,3.75760632521202,"yes"
4.42401910926962,3.72911354758675,4.04820533990085,4.37526203956885,5.14516100564541,4.42915309695291,4.12824177719673,4.65360525452932,3.22940266735844,3.63957713244749,3.46238778309276,3.46567375953998,3.66444133291157,3.62394530943369,4.73006438427068,4.01098709358048,4.18510499155681,3.60457124595067,4.42844035967821,4.02082291625727,4.24072224144448,3.46785067879426,3.40736993141288,4.01098709358048,4.51996722934426,4.26286123742571,4.10131913437385,4.52399294085331,3.97671692973272,3.904410849416,3.88532237199755,4.42665338219376,3.88821905865178,4.04014128494568,3.72432788503594,4.23943815967551,3.60930045219473,4.28392618589153,4.04101248780935,3.6886123327694,3.89517446515151,4.4130729954296,3.88615197011401,4.03162831215642,3.92912404641805,4.00472462772322,5.18583306294594,4.22448678704011,3.97401734384123,4.02264258853631,4.21467941053774,4.61768537551004,3.4546224130605,4.50427994442093,3.63884538083056,"yes"
4.38278607825115,4.55749947053273,4.45058742669997,4.66169659677573,4.27061160322106,4.70476106653076,4.61048288321928,4.54827631180981,3.97859884897841,4.04914361961681,3.9596153435221,4.41265227728456,4.96576585950109,4.03630330896167,3.74883308012809,3.75393768146512,3.74646466333149,4.2556870052359,4.91646257737179,4.22023441052803,4.07688615668232,3.73463713962646,3.7796512478383,3.66987770294449,4.20770750824803,4.12584044979434,3.99364265628669,4.03332649302457,4.48424769495513,4.03054391659347,4.38015398242541,4.39703036505523,3.83042096331342,4.19671670088749,3.63594619378715,4.11128809753101,3.70692661934872,4.45363783127497,3.73463713962646,3.72617276313266,3.88437293248937,3.70431755493029,3.8682946215837,3.79219117600551,3.72083858663481,3.69639497719693,4.89119650193755,3.73506135893433,3.52828318165397,3.41882168224235,3.5927117481322,4.04490555819559,3.19410920007628,3.4991723520377,4.05461230141539,"yes"
4.5408301603178,4.22845777073257,4.48859755693527,4.61926352818387,3.94253746694945,4.396259451307,4.65240675755852,4.41511325743447,4.04884085445365,4.30929401339528,4.07453515734649,4.03227711663414,4.11663733347729,4.22391182306712,3.87949535552703,3.95078284599575,4.22845777073257,3.92331171556683,4.39719838868665,4.12373692982558,4.30320058105537,3.88843322327398,3.79155230969854,3.78005300600358,4.39105869318775,4.24821838059612,3.93788814178357,4.32999299198284,4.29038216820374,4.1930567611115,4.05641757325451,4.13582277411554,3.94119943336,3.85781266491641,3.97395071104778,4.4930465299742,3.76096509988918,4.07657783178746,3.92705519567528,3.88257379167982,3.87806714547507,3.85025295303192,3.84859752564571,3.81753021342345,3.33405870374369,3.38995967662006,4.44793786827596,3.58705388225112,3.8227069341616,3.3382106902614,3.81006602522834,3.83735344575264,3.31355722272854,3.65665529189455,3.76236781072179,"yes"
3.95626691282409,4.14543552284461,4.25122897070477,5.24422013114272,4.75820082829539,4.58683760344557,4.36680864599584,5.65084093531822,4.35634739081762,4.0494277675725,4.33247938114404,3.95641385732961,4.14846725928839,3.88968739127617,3.90034857434383,3.38552993003391,4.23837237072779,3.74863489693865,3.71230933281417,4.45428576278232,3.72650819872415,3.79746328866257,4.02465998962118,3.43558713164369,4.02415747931704,3.61700722420444,3.68519034246917,4.14704876761286,3.84249988795853,3.57206925828157,3.76194138552865,3.93918066132975,3.99652243811931,3.34544799380396,3.82376730302657,4.00171565799287,4.05974069533454,4.10365286243579,3.72550924605392,4.13073849232796,3.61732809195594,4.47493670133735,4.57653159100147,4.43946911934005,3.65184339791193,3.93549627459259,5.0806541643019,4.03274532734683,4.24302952415349,3.94720795438984,3.83904852291812,4.461416891144,3.92803238335239,4.94933369771322,4.67489082478756,"yes"
4.64339698858566,3.4679692811975,4.55489779440538,4.4568688770709,4.00447783379606,4.25231654546747,4.24478589246474,4.18158843100053,4.41645339462683,4.01022270256745,3.39162593605753,4.16372923418601,3.81852364083783,4.09457649958708,4.32036052378726,4.03543776933662,4.64317557920952,4.23775236359269,3.96066884189995,4.22996256895641,4.38626897301696,4.17470890140286,4.24246494243629,3.95903520911005,4.44609299245675,4.32251936190075,4.08200227835024,4.36647674193077,4.25918300442038,3.95733221498665,4.04818374590464,3.74121749980775,3.84844046275341,3.90450964672954,3.89897898815957,4.75548141040296,4.12521495127028,4.10374003597862,3.99223041800683,4.06270359050594,3.66319891297764,4.09842958110087,3.90343775523872,3.7378783619213,3.29778556409332,3.35703816357275,4.47673384476868,3.44473729747112,3.8098242799234,3.31670160586685,3.72056839391512,2.80149030153905,3.33376682115976,3.77806952017916,3.18245487298317,"yes"
3.75863736184972,4.31763656387529,4.33087447379302,4.99334241471725,4.35933052860293,4.48604529973042,4.20764739805353,5.19266165966955,3.83438427677616,3.90917231089048,4.03634392893107,4.09749230823779,3.87195881665568,4.12389187734794,3.71139742876538,3.8323621612496,3.87664308606356,3.78633843965403,3.87597699010185,3.97282033729015,3.89648327373477,3.90326556618398,3.9381360068258,3.47703591802406,4.1041456292352,3.92344761049571,3.95831313251488,3.77281440493737,4.29512216914983,3.94344722682382,3.90576241521391,4.15284949800251,3.79304660854877,3.81755629846836,3.84435599286279,3.9970657215069,4.17020459338066,4.22215577102887,3.88813737275407,3.67352033572158,3.88537374516422,4.55506726827392,4.70610706286799,4.26304978921641,4.08335526026327,4.1560967387205,5.35363675150567,4.26597892944284,4.44100526866668,4.07066274181516,4.51534267826946,3.41665115793048,4.51388736911997,3.97574399539464,5.71699678079845,"yes"
